學年度,年級,學期,課次,課名,生字數,語詞數,認讀字數,生字,認讀字,語詞,TextNameId,來源網址
114,一年級,下學期,第6課,第六課：奶奶的小跟班,16,7,0,奶、跟、班、床、弟、她、酒、拿、卡、片、給、寫、喜、歡、您、都,,奶奶、跟班、起床、弟弟、家家酒、卡片、喜歡,0103011140206,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103011140206
114,一年級,下學期,第7課,第七課：作夢的雲,15,6,0,作、夢、躺、自、己、變、成、棉、糖、黑、鵝、得、更、漂、亮,,作夢、自己、變成、棉花糖、天鵝、漂亮,0103011140207,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103011140207
114,一年級,下學期,第8課,第八課：妹妹的紅雨鞋,16,9,0,妹、雨、雙、穿、滴、遊、戲、顆、珍、珠、落、面、魚、缸、金、游,,妹妹、雨鞋、一雙、遊戲、珍珠、落下、水面、魚缸、金魚,0103011140208,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103011140208
114,一年級,下學期,第9課,第九課：七彩的虹,16,8,0,彩、虹、太、國、掃、除、洗、淨、馬、低、刷、樹、葉、很、認、送,,太陽、國王、大掃除、洗淨、馬路、高高低低、葉子、認真,0103011140209,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103011140209
114,一年級,下學期,第10課,第十課：和你在一起,16,10,0,地、化、趣、線、風、箏、升、神、奇、跑、跳、笑、每、件、事、情,,草地、變化、有趣、長線、風箏、升高、神奇、跑跑跳跳、說說笑笑、事情,0103011140210,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103011140210
114,一年級,下學期,第11課,第十一課：生日快樂,16,8,0,生、日、今、記、時、知、道、嗎、學、收、張、祝、福、第、次、謝,,生日、今天、記得、知道、放學、祝福、第一次、謝謝,0103011140211,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103011140211
114,一年級,下學期,第12課,第十二課：小黑,16,8,0,想、燈、前、點、半、清、楚、停、休、息、兒、吧、幫、加、油、慢,,路燈、前面、一點、一半、清楚、休息、一會兒、加油,0103011140212,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103011140212
114,二年級,上學期,第1課,第一課：新學年新希望,18,13,2,年、希、望、坐、位、本、淡、書、老、師、以、為、故、用、力、只、現、還,聲、矮,學年、希望、位子、課本、淡淡、書香、老師、以前、大聲、成為、故事、用力、現在,0103021140101,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103021140101
114,二年級,上學期,第2課,第二課：一起做早餐,18,11,2,全、蛋、煎、圓、番、茄、切、輪、司、夾、吐、中、方、城、堡、接、畫、臉,餐、醬,早餐、全家、番茄、輪子、起司、吐司、四四方方、城堡、接著、番茄醬、笑臉,0103021140102,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103021140102
114,二年級,上學期,第3課,第三課：走過小巷,18,8,2,巷、叔、貓、屋、捧、蝴、蝶、忙、娶、娘、黃、筆、打、扮、樣、越、美、麗,牆、模,叔叔、捧花、蝴蝶、新娘、彩筆、打扮、模樣、美麗,0103021140103,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103021140103
114,二年級,上學期,第4課,第四課：運動會,18,11,2,運、動、飄、熱、鬧、舞、哇、往、容、步、汗、腳、協、聲、河、氣、最、可,賽、拔,運動會、熱鬧、大會舞、笑容、跑步、比賽、汗水、協力、拔河、力氣、最後,0103021140104,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103021140104
114,二年級,上學期,第5課,第五課：坐竹籃船,18,13,2,竹、籃、鄉、南、暑、假、帶、等、跨、划、吹、邊、叫、原、近、捕、活、識,碗、轉,家鄉、越南、暑假、碗公、划船、轉動、一邊、叫好、原本、近海、捕魚、活動、認識,0103021140105,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103021140105
114,二年級,上學期,第6課,第六課：小鎮的柿餅節,18,9,2,鎮、餅、節、因、此、進、排、遠、色、愛、月、乾、甜、客、買、親、如、意,柿、埔,小鎮、因此、走進、金黃色、可愛、風乾、遊客、親朋好友、如意,0103021140106,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103021140106
